000_MedAdvCFG_by_NigelTodman.com SLUS-00000
007_the_world_is_not_enough SLUS-01272 
007_tomorrow_never_dies SLUS-00975
007_racing SLUS-01300
102_dalmations_puppies_to_the_rescue SLUS-01152
1xtreme SCUS-94503
2xtreme SCUS-94508
3d_baseball SLUS-00066
3xtreme SCUS-94231
40_winks SLUS-00874
ace_combat_2 SLUS-00404
ace_combat_3_electrosphere SLUS-00972
aces_of_the_air SLUS-01470
action_bass SLUS-01248
action_man_operation_extreme SLUS-00887
activision_classics SLUS-00777
adidas_power_soccer SCUS-94502
adidas_power_soccer_98 SLUS-00547
adventure_of_phix SLUS-01523
adventures_of_lomax SCUS-94906
agile_warrior_f_111x SLUS-00023
air_combat SLUS-00001
air_hockey SLUS-01467
akuji_the_heartless SLUS-00715
alexi_lalas_international_soccer SLUS-00872
alien_resurrection SLUS-00633
alien_trilogy SLUS-00007
allied_general SLUS-00303
all_star_baseball SLUS-00392
all_star_racing SLUS-01460
all_star_racing_2 SLUS-01510
all_star_slammin_dodgeball SLUS-01431
all_star_tennis_99 SLUS-00833
alone_in_the_dark_one_eyed_jacks_revenge SLUS-00239
alone_in_the_dark_the_new_nightmare SLUS-01201
alundra SLUS-00553
alundra_2 SLUS-01017
amazing_virtual_sea_monkeys SLUS-01475
american_pool SLUS-01488
andretti_racing SLUS-00264
animaniacs_ten_pin_alley_2 SLUS-00784
animorphs_shattered_reality SLUS-01010
ape_escape SCUS-94423
apocalypse SLUS-00373
aquanauts_holiday SCUS-94603
arc_the_lad SLUS-01224
arc_the_lad_monster_tournament_battle_arena SLUS-01255
arc_the_lad_collection SLUS-01256
arc_the_lad_ii SLUS-01252
arc_the_lad_iii SLUS-01253
arcade_party_pack SLUS-00952
arcades_greatest_hits_the_atari_collection_1 SLUS-00399
arcades_greatest_hits_the_atari_collection_2 SLUS-00449
arcades_greatest_hits_the_midway_collection_2 SLUS-00450
arcades_greatest_hits_williams SLUS-00201
area_51 SLUS-00164
armored_core SCUS-94182
armored_core_master_of_arena SLUS-01030
armored_core_project_phantasma SLUS-00670
armorines_project_swarm SLUS-01022
army_men_air_attack SLUS-00913
army_men_air_attack_2 SLUS-01132
army_men_green_rouge SLUS-01330
army_men_sarges_heroes SLUS-00914
army_men_sarges_heroes_2 SLUS-01202
army_men_world_war SLUS-01079
army_men_world_war_final_front SLUS-01327
army_men_world_war_land,_sea_&_air SLUS-01203
army_men_world_war_team_assault SLUS-01435
army_men_3d SLUS-00491
arthur!_ready_to_race SLUS-01090
assault_retribution SLUS-00713
assault_rigs SCUS-94405
asteroids_3d SLUS-00773
atari_30th_aniversary_edition_redux SLUS-01427
a_train SLUS-00003
attack_of_the_saucerman SLUS-01718
atv_quad_power_racing SLUS-01137
atv_mania SLUS-01545
atv_racers SLUS-01572
austin_powers_pinball SLUS-01456
auto_destruct SLUS-00522
azure_dreams SLUS-00614
backstreet_billiards SLUS-00659
backyard_football SLUS-01095
backyard_soccer SLUS-01094
baldies SLUS-01567
ball_breakers SLUS-01249
ballblazer_champions SLUS-00068
ballerburg_castle_chaos SLUS-01568
ballistic SLUS-00966
barbie_gotta_have_games SLUS-01569
barbie_race_&_ride SLUS-00981
barbie_super_sports SLUS-00946
barbie_detective_the_mystery_cruise SLUS-01221
barbie_explorer SLUS-01361
bases_loaded_96_double_header SLUS-00086
bass_landing SLUS-00873
bassrise_fishing SLUS-00905
batman_gotham_city_racer SLUS-01141
batman_&_robin SLUS-00393
batman_beyond_return_of_the_joker SLUS-01207
batman_forever_the_arcade_game SLUS-00387
battle_arena_toshinden SCUS-94003
battle_arena_toshinden_2 SLUS-00220
battle_arena_toshinden_3 SLUS-00483
battle_hunter SLUS-01335
battlesport SLUS-00389
battlestations SLUS-00456
battletanx_global_assault SLUS-01044
bear_in_the_big_blue_house SLUS-01524
beast_wars_transformers SLUS-00508
bedlam SLUS-00349
beyblade SLUS-01489
beyond_the_beyond SCUS-94702
big_air SLUS-00645
big_bass_fishing SLUS-01442
big_bass_world_championship SLUS-00228
big_league_slugger_baseball SLUS-01527
big_strike_bowling SLUS-01478
billiards SLUS-01289
bio_freaks SLUS-00502
black_bass_with_blue_marlin SLUS-00648
black_dawn SLUS-00321
blade SLUS-01215
blast_chamber SLUS-00219
blast_lacrosse SLUS-01380
blast_radius SLUS-00642
blaster_master_blasting_again SLUS-01031
blasto! SCUS-94412
blazing_dragons SLUS-00100
blockids SLUS-01496
blood_omen_legacy_of_kain SLUS-00027
bloody_roar SCUS-94199
bloody_roar_2 SCUS-94424
blues_clues_blues_big_musical SLUS-01198
bob_the_builder_can_we_fix_it SLUS-01407
bogey_dead_6 SCUS-94307
bomberman_fantasy_race SLUS-00823
bomberman_party_edition SLUS-01189
bomberman_world SLUS-00680
bombing_islands SLUS-01292
boombots SLUS-00968
bottom_of_the_ninth SLUS-00049
bottom_of_the_ninth_97 SLUS-00296
bottom_of_the_ninth_99 SLUS-00678
bowling SLUS-01288
boxing SLUS-01309
brahma_force SLUS-00444
brain_dead_13 SLUS-00083
bratz SLUS-01508
brave_fencer_musashi SLUS-00726
bravo_air_race SLUS-00488
breakout SLUS-01170
breath_of_fire_iii SLUS-00422
breath_of_fire_iv SLUS-01324
brigandine_legend_of_forsena SLUS-00687
broken_helix SLUS-00289
broken_sword_the_shadow_of_the_templars SLUS-00484
broken_sword_2_the_smoking_mirror SLUS-00812
brunswick_circuit_pro_bowling SLUS-00571
brunswick_circuit_pro_bowling_2 SLUS-00856
bubble_bobble_featuring_rainbow_islands SLUS-00370
bubsy_3d SLUS-00110
bugriders_the_race_of_kings SLUS-00354
bugs_bunny_lost_in_time SLUS-00838
bugs_bunny_&_taz_time_busters SLUS-01144
builders_block SLUS-01086
burning_road SLUS-00324
burstrick_wake_boarding! SLUS-01317
bushido_blade SCUS-94180
bushido_blade_2 SLUS-00663
bust_a_groove SCUS-94263
bust_a_groove_2 SLUS-01159
bust_a_move_2_arcade_edition SLUS-00233
bust_a_move_4 SLUS-00754
bust_a_move_99 SLUS-00725
buster_bros_collection SLUS-00208
c_the_contra_adventure SLUS-00499
c_12_the_final_resistance SCUS-94666
cabelas_big_game_hunter_ultimate_challenge SLUS-01391
cabelas_ultimate_deer_hunt SLUS-01474
caesars_palace SLUS-00285
caesars_palace_2000 SLUS-01089
caesars_palace_ii SLUS-00780
capcom_generations_1 SLUS-01432
capcom_generations_2 SLUS-01433
capcom_generations_4 SLUS-01434
capcom_vs_snk_millennium_fight_2000_pro SLUS-01476
card_games SLUS-01379
cardinal_syn SCUS-94156
carnage_heart SCUS-94604
cart_world_series SCUS-94416
casper SLUS-00162
casper_friends_around_the_world SLUS-01245
castlevania_symphony_of_the_night SLUS-00067
castlevania_chronicles SLUS-01384
castrol_honda_superbike_racing SLUS-00882
cat_in_the_hat SLUS-01579
centipede SLUS-00807
championship_bass SLUS-01084
championship_motocross_featuring_ricky_carmichael SLUS-00790
championship_motocross_2001_ricky_carmichael SLUS-01230
championship_surfer SLUS-01216
chesmaster_3d SLUS-00052
chess SLUS-01400
chessmaster_ii SLUS-00886
chicken_run SLUS-01304
chocobo_racing SLUS-00844
chocobos_magical_dungeon_2 SLUS-00814
chronicles_of_the_sword SCUS-94700
chrono_cross SLUS-01041
circuit_breakers SLUS-00697
city_of_lost_children SCUS-94150
civilization_ii SLUS-00792
clay_fighter_extreme SLUS-00286
cleopatras_fortune SLUS-01491
clock_tower SLUS-00539
clock_tower_2_the_struggle_within SLUS-00695
codename_tenka SCUS-94409
colin_mcrae_rally SCUS-94474
colin_mcrae_rally_20 SLUS-01222
college_slam SLUS-00196
colony_wars SLUS-00543
colony_wars_vengeance SLUS-00722
colony_wars_3_red_sun SLUS-00866
command_&_conquer SLUS-00379
command_&_conquer_red_alert SLUS-00431
command_&_conquer_red_alert_retaliation SLUS-00665
contender SCUS-94294
contender_2 SCUS-94494
contra_legacy_of_war SLUS-00288
cool_boarders_extreme_snowboarding SCUS-94356
cool_boarders_2 SCUS-94358
cool_boarders_2001 SCUS-94597
cool_boarders_3 SCUS-94251
cool_boarders_4 SCUS-94559
countdown_vampires SLUS-00898
courier_crisis SLUS-00442
covert_ops_nuclear_dawn SLUS-01151
crash_bandicoot SCUS-94900
crash_bandicoot_2_cortex_strikes_back SCUS-94154
crash_bandicoot_3_warped SCUS-94244
crash_bash SCUS-94570
crash_team_racing SCUS-94426
creatures SLUS-01438
creatures_raised_in_space SLUS-01553
crime_killer SLUS-00576
critical_depth SLUS-00428
criticom SLUS-00046
croc_legend_of_the_gobbos SLUS-00530
croc_2 SLUS-00634
crossroad_crisis SLUS-01342
crusader_no_remorse SLUS-00268
crusaders_of_might_and_magic SLUS-00799
crypt_killer SLUS-00335
cubix_robots_for_everyone_racen_robots SLUS-01422
cyber_sled SLUS-00008
cyber_speed SLUS-00116
cyberia SLUS-00053
cybertiger_golf SLUS-01004
d SLUS-00128
dance_dance_revolution_disney_mix SLUS-01281
dance_dance_revolution_konamix SLUS-01446
dance_dance_revolution_usa_mix SLUS-01280
danger_girl SLUS-00881
dare_devil_derby_3d SLUS-00300
darklight_conflict SLUS-00457
darkstalkers_the_night_warriors SLUS-00036
darkstalkers_3_jedahs_damnation SLUS-00745
darkstone_evil_reigns SLUS-01182
dave_mirra_freestyle_bmx SLUS-01026
dave_mirra_freestyle_bmx_maximum_remix SLUS-01347
david_beckham_soccer SLUS-01455
dead_ball_zone SLUS-00658
dead_in_the_water SLUS-00693
dead_or_alive SLUS-00606
deathtrap_dungeon SLUS-00566
deception_iii_dark_delusion SLUS-01067
defcon_5_peace_has_a_price SLUS-00009
delta_force_urban_warfare SLUS-01429
demolition_racer SLUS-00969
descent SLUS-00037
descent_maximum SLUS-00460
destrega SLUS-00732
destruction_derby SCUS-94302
destruction_derby_2 SCUS-94350
destruction_derby_raw SLUS-00912
